"url","priority","audience","issue","required_action","owner","dependency","notes"
"SITEWIDE","P0","all travelers","NAP/entity facts unapproved","Obtain signed fact sheet for name, address, phones, email, hours, founding, licence, profiles and logo","Brother Tours approver - MISSING","owner evidence","All facts remain MISSING"
"SITEWIDE","P0","all travelers","Unsupported trust claims","Verify or remove ratings, review counts, licences, founding/history and availability claims","Brother Tours approver - MISSING","third-party and owner evidence","Live/source contradictions observed"
"/tour/{slug}/","P0","tour prospects","Seeded/reused content and incomplete commercial facts","Complete per-tour route, itinerary, logistics, seasonality, inclusions, exclusions, fit, accessibility, safety, price basis and policy fact sheet","Brother Tours product owner - MISSING","priority list plus product facts","GSC/GA4/backlinks MISSING"
"/destinations/{slug}/","P0","destination researchers","Destination depth and slug ownership unverified","Complete geography, access, seasonality, stay, transport, safety, linked tours, sources, media and review date","Brother Tours product owner - MISSING","destination facts","MISSING"
"/about/","P0","trust evaluators","Company/team claims lack approved record","Publish reviewed history, roles, credentials, author/reviewer policy and corrections contact","Brother Tours approver - MISSING","fact sheet","MISSING"
"/privacy/","P0","all users","Legal copy/slug unapproved","Approve forms, analytics, payment, retention, processor and rights disclosures","Legal owner - MISSING","legal review","MISSING"
"/terms/","P0","bookers","Terms unapproved","Approve booking and website terms","Legal owner - MISSING","legal review","MISSING"
"/cancellation/","P0","bookers","Cancellation/refund policy unapproved","Align visible policy with authoritative booking/payment behavior","Legal owner - MISSING","legal and payment review","MISSING"
"/visa-guide/","P1","international travelers","Time-sensitive visa content","Use official government/embassy sources and visible review date","Editorial owner - MISSING","current official sources","No standalone visa-sale positioning"
"/when-to-visit/","P1","trip planners","Seasonality facts unverified","Create region/month guidance from authoritative and operational evidence","Editorial owner - MISSING","operational facts","MISSING"
"/journal/","P2","early-stage researchers","Legacy informational value unknown","Preserve/update/merge only after GSC, GA4 and backlink review","WordPressistic - Shuvo","performance exports","Do not infer no value from sitemap absence"
"SITEWIDE","P1","all travelers","Authorship/media governance absent","Add verified authors/reviewers, dates, citations, correction policy and image-rights register","Editorial owner - MISSING","credentials and media rights","MISSING"
