"old_url","discovery_source","current_status","indexability","current_canonical","gsc_clicks","ga4_sessions","conversions","backlinks","new_url","action","reason","evidence_level","redirect_code","final_canonical","internal_links_updated","sitemap_action","owner","approval_state","qa_state","notes"
"https://www.brothertours.com/","https://www.brothertours.com/page-sitemap.xml","200","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/","MISSING","MISSING","MISSING","MISSING","https://www.brothertours.com/","KEEP","Canonical production homepage and primary business entry point","E2","NONE","https://www.brothertours.com/","false","KEEP","WordPressistic - Shuvo","proposed","not_tested","No final migration action before Gate A approval"
"https://www.brothertours.com/about-brother-tours-tour-operator-in-laos/","https://www.brothertours.com/page-sitemap.xml","200","MISSING","https://brothertours.com/about-brother-tours-tour-operator-in-laos/","MISSING","MISSING","MISSING","MISSING","MISSING","NEEDS_DECISION","Performance, backlink, historical and approved content-equivalence evidence is missing","E2","MISSING","MISSING","false","NEEDS_DECISION","WordPressistic - Shuvo","pending","not_tested","No final migration action before Gate A approval"
"https://www.brothertours.com/accommodation/","homepage/internal-link reconnaissance","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","NEEDS_DECISION","Live/internal discovery exists but value, equivalence, redirect history and owner approval are missing","E1","MISSING","MISSING","false","NEEDS_DECISION","WordPressistic - Shuvo","pending","not_tested","Do not redirect to homepage; choose closest equivalent or real 404/410 after evidence review"
"https://www.brothertours.com/adventure-tours/","homepage/internal-link reconnaissance","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","NEEDS_DECISION","Live/internal discovery exists but value, equivalence, redirect history and owner approval are missing","E1","MISSING","MISSING","false","NEEDS_DECISION","WordPressistic - Shuvo","pending","not_tested","Do not redirect to homepage; choose closest equivalent or real 404/410 after evidence review"
"https://www.brothertours.com/b2b-travel-partner-program/","https://www.brothertours.com/page-sitemap.xml","200","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/b2b-travel-partner-program/","MISSING","MISSING","MISSING","MISSING","MISSING","NEEDS_DECISION","Performance, backlink, historical and approved content-equivalence evidence is missing","E2","MISSING","MISSING","false","NEEDS_DECISION","WordPressistic - Shuvo","pending","not_tested","No final migration action before Gate A approval"
"https://www.brothertours.com/book-free-tour-form/","https://www.brothertours.com/page-sitemap.xml","200","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/book-free-tour-form/","MISSING","MISSING","MISSING","MISSING","MISSING","NEEDS_DECISION","Performance, backlink, historical and approved content-equivalence evidence is missing","E2","MISSING","MISSING","false","NEEDS_DECISION","WordPressistic - Shuvo","pending","not_tested","No final migration action before Gate A approval"
"https://www.brothertours.com/brother-tours-legal-license/","https://www.brothertours.com/page-sitemap.xml","200","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/brother-tours-legal-license/","MISSING","MISSING","MISSING","MISSING","MISSING","NEEDS_DECISION","Performance, backlink, historical and approved content-equivalence evidence is missing","E2","MISSING","MISSING","false","NEEDS_DECISION","WordPressistic - Shuvo","pending","not_tested","No final migration action before Gate A approval"
"https://www.brothertours.com/cambodia-travel-guide/","https://www.brothertours.com/page-sitemap.xml","200","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/cambodia-travel-guide/","MISSING","MISSING","MISSING","MISSING","MISSING","NEEDS_DECISION","Performance, backlink, historical and approved content-equivalence evidence is missing","E2","MISSING","MISSING","false","NEEDS_DECISION","WordPressistic - Shuvo","pending","not_tested","No final migration action before Gate A approval"
"https://www.brothertours.com/cancellation/","homepage/internal-link reconnaissance","404","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","MISSING","NEEDS_DECISION","Live/internal discovery exists but value, equivalence, redirect history and owner approval are missing","E2","MISSING","MISSING","false","NEEDS_DECISION","WordPressistic - Shuvo","pending","not_tested","Do not redirect to homepage; choose closest equivalent or real 404/410 after evidence review"
"https://www.brothertours.com/category/laos-travel-guide/","https://www.brothertours.com/category-sitemap.xml","200","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/category/laos-travel-guide/","MISSING","MISSING","MISSING","MISSING","MISSING","NEEDS_DECISION","Performance, backlink, historical and approved content-equivalence evidence is missing","E2","MISSING","MISSING","false","NEEDS_DECISION","WordPressistic - Shuvo","pending","not_tested","No final migration action before Gate A approval"
