"url","discovery_source","status","final_url","content_type","title","meta_description","h1","word_count","index_directive","canonical","sitemap_member","click_depth","inlinks","outlinks","schema_types","image_alt_issues","template_type","redirect_chain","evidence_level","observed_utc","notes"
"https://www.brothertours.com/","https://www.brothertours.com/page-sitemap.xml","200","https://www.brothertours.com/","text/html; charset=UTF-8","Brother Tours Laos | Laos Tour Packages Private Guides","Explore Laos with Brother Tours. Private tours, custom travel plans, and cultural trips. Fast visa service and friendly guides.","Laos is not a destination. It is the people who take you there.","1385","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/","true","0","78","40","Place|GeoCoordinates|PostalAddress|ImageObject|WebSite|SearchAction|WebPage|TravelAgency|ContactPoint","0","home","","E2","2026-08-11T00:57:42Z",""
"https://www.brothertours.com/about-brother-tours-tour-operator-in-laos/","https://www.brothertours.com/page-sitemap.xml","200","https://www.brothertours.com/about-brother-tours-tour-operator-in-laos/","text/html","About Brother Tours Laos - Local Tour Operator & Travel Hosts 2025","Brother Tours Laos: Your local hosts, not just tour operators. Experience authentic Laos travel with our founders & team of passionate experts. Award-winning cultural immersion since 2010.","We Don't Sell Tours – We Share Our Home","1283","MISSING","https://brothertours.com/about-brother-tours-tour-operator-in-laos/","true","1","74","1","TravelAgency|Person|PostalAddress|ContactPoint|Country|AggregateRating|BreadcrumbList|ListItem|FAQPage|Question|Answer","0","page_or_post","","E2","2026-08-11T00:57:42Z",""
"https://www.brothertours.com/b2b-travel-partner-program/","https://www.brothertours.com/page-sitemap.xml","200","https://www.brothertours.com/b2b-travel-partner-program/","text/html; charset=UTF-8","Exclusive B2B Travel Partner Program | Brother Tours Laos","Join Brother Tours’ B2B Travel Partner Program and access exclusive Laos travel packages, competitive commissions, and white-label support for travel agents.","Exclusive B2B Travel Partner Program","579","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/b2b-travel-partner-program/","true","1","3","14","Place|GeoCoordinates|PostalAddress|ImageObject|WebSite|WebPage|Person|Article","1","page_or_post","","E2","2026-08-11T00:57:42Z",""
"https://www.brothertours.com/book-free-tour-form/","https://www.brothertours.com/page-sitemap.xml","200","https://www.brothertours.com/book-free-tour-form/","text/html; charset=UTF-8","Book Your Free Tour with Brother Tours – Easy & Quick Form","Sign up for a free tour with Brother Tours! Use our quick form to explore stunning destinations without any booking fees. Discover Laos today!","Join Us","169","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/book-free-tour-form/","true","MISSING","1","14","Place|GeoCoordinates|PostalAddress|ImageObject|WebSite|WebPage|Person|Article","0","page_or_post","","E2","2026-08-11T00:57:42Z",""
"https://www.brothertours.com/brother-tours-legal-license/","https://www.brothertours.com/page-sitemap.xml","200","https://www.brothertours.com/brother-tours-legal-license/","text/html; charset=UTF-8","Brother Tours Legal License – Trustworthy Travel Services","Discover the legal license of Brother Tours. Learn about our commitment to safe and reliable travel experiences in Laos. Travel with confidence","A Trusted Licensed DMC in Laos","204","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/brother-tours-legal-license/","true","1","5","18","Place|GeoCoordinates|PostalAddress|ImageObject|WebSite|WebPage|Person|Article","8","page_or_post","","E2","2026-08-11T00:57:42Z",""
"https://www.brothertours.com/cambodia-travel-guide/","https://www.brothertours.com/page-sitemap.xml","200","https://www.brothertours.com/cambodia-travel-guide/","text/html; charset=UTF-8","Cambodia Travel Guide - Brother Tours Laos","Plan your dream trip with this Cambodia Travel Guide! Discover the best places to visit, travel tips, visa requirements, local cuisine, and more for an unforgettable adventure in 2024.","","748","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/cambodia-travel-guide/","true","MISSING","1","14","Place|GeoCoordinates|PostalAddress|ImageObject|WebSite|WebPage|Person|Article","0","page_or_post","","E2","2026-08-11T00:57:42Z",""
"https://www.brothertours.com/category/laos-travel-guide/","https://www.brothertours.com/category-sitemap.xml","200","https://www.brothertours.com/category/laos-travel-guide/","text/html; charset=UTF-8","Laos Travel Guide - Brother Tours Laos","","","955","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/category/laos-travel-guide/","true","MISSING","2","58","Place|GeoCoordinates|PostalAddress|TravelAgency|ImageObject|WebSite|CollectionPage","0","archive","","E2","2026-08-11T00:57:42Z",""
"https://www.brothertours.com/category/travel-blog/","https://www.brothertours.com/category-sitemap.xml","200","https://www.brothertours.com/category/travel-blog/","text/html; charset=UTF-8","Travel Blog - Brother Tours Laos","","","979","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/category/travel-blog/","true","MISSING","3","57","Place|GeoCoordinates|PostalAddress|TravelAgency|ImageObject|WebSite|CollectionPage","0","archive","","E2","2026-08-11T00:57:42Z",""
"https://www.brothertours.com/contact/","https://www.brothertours.com/page-sitemap.xml","200","https://www.brothertours.com/contact/","text/html","Contact Brother Tours Laos | Get in Touch with Ken FJ Her","Contact Brother Tours Laos for authentic travel experiences. Call +856-20-55989894, WhatsApp, email enquiry@brothertours.com, or visit Vientiane, Laos. Connect with Ken FJ Her, your host in Laos.","Contact Brother Tours Laos","637","MISSING","https://www.brothertours.com/contact/","true","1","73","28","TravelAgency|PostalAddress|Person|ContactPage|ImageObject|BreadcrumbList|ListItem|FAQPage|Question|Answer","0","page_or_post","","E2","2026-08-11T00:57:42Z",""
"https://www.brothertours.com/explore-laos-authentically-with-brother-tours/","https://www.brothertours.com/page-sitemap.xml","200","https://www.brothertours.com/explore-laos-authentically-with-brother-tours/","text/html; charset=UTF-8","Explore Laos Authentically with Local Guides – Brother Tours","Ready to explore Laos authentically? Dive into rich culture, stunning landscapes, and off-the-beaten-path sites led by expert local guides.","","1085","follow, index, max-video-preview:-1, max-image-preview:large","https://www.brothertours.com/explore-laos-authentically-with-brother-tours/","true","MISSING","1","36","Place|GeoCoordinates|PostalAddress|ImageObject|WebSite|WebPage|Person|Article","22","page_or_post","","E2","2026-08-11T00:57:42Z",""
