"id","source","timestamp_utc","property","filters","evidence_level","evidence_excerpt","affected_urls_templates","interpretation","confidence","impact","urgency","reach","effort","priority","risk","exact_action","acceptance_criteria","owner","dependency","approval_status","state","severity"
"BTL-REL-001","local source","2026-08-11T00:45:00Z","release integrity","none","E2","Non-Git bundle; Operations API 1.0.0 and bridgistic-api/v1 conflict with reported release","repository-wide","Claimed split commit cannot be reproduced","5","5","5","5","2","96","Wrong code could be released","Obtain and audit actual commit checkout","HEAD, remote, clean status, versions and namespace match approved release","WordPressistic - Shuvo","actual Git checkout","pending","blocked","critical"
"BTL-STG-001","public HTTP","2026-08-11T00:53:15Z","staging indexation","unauthenticated","E2","Homepage 200/index-follow/self-canonical while robots.txt says Disallow: /","staging hostname","Robots blocking prevents crawlers seeing noindex","5","5","5","5","2","96","Staging leakage/indexation","Require authentication and explicit noindex safeguard","Unauthenticated content unavailable and no staging canonical/indexable signal","Hosting owner - MISSING","hosting access","pending","open","critical"
"BTL-HUB-001","public HTTP","2026-08-11T00:55:00Z","core revenue paths","GET follow redirects","E2","/tours/ and /destinations/ redirect to legacy noncanonical hubs","tour and destination hubs","Target architecture does not own its revenue paths","5","5","5","5","3","94","Migration and internal-link drift","Approve purpose-built 200 self-canonical hubs","Both hubs return direct 200 with matching title/H1/canonical and approved content","WordPressistic - Shuvo","Gate A architecture","pending","open","critical"
"BTL-SEO-001","public HTTP plus source","2026-08-11T00:54:00Z","SEO ownership","sitemaps","E2","Production Rank Math, staging WordPress core, SEOISTIC absent from source","sitewide","Single-owner requirement cannot be validated","5","5","5","5","3","94","Duplicate/conflicting metadata and maps","Supply SEOISTIC and document authoritative ownership","One tested owner for title, canonical, robots, sitemap, OG, redirects and schema","WordPressistic - Shuvo","SEOISTIC package and active-plugin export","pending","blocked","critical"
"BTL-SEC-001","local source","2026-08-11T01:00:00Z","operations authorization","REST routes","E2","Sensitive bookings, inbox, payment and team routes accept edit_posts","Operations API","Contributor-like roles may access PII and actions","5","5","5","4","3","92","PII/financial privilege escalation","Add dedicated least-privilege capabilities","Contributor 403; intended role succeeds in automated auth tests","WordPressistic - Shuvo","WordPress test harness","pending","open","critical"
"BTL-PAY-001","local source","2026-08-11T01:00:00Z","payment reconciliation","webhooks","E2","Event is recorded before exact transaction reconciliation","payment webhooks","Crash/retry can lose or misapply payment state","5","5","5","4","4","90","Financial state corruption","Make claim and reconciliation atomic and exact","Duplicate/concurrent/crash retries reconcile once with amount/currency/type match","WordPressistic - Shuvo","DB migration and sandbox gateway","pending","open","critical"
"BTL-SCH-001","source and public HTTP","2026-08-11T00:58:00Z","tour schema","tour pages","E2","Source hard-codes LimitedAvailability; live visible unavailable page emits InStock Offer","tour singles","Commercial schema can contradict visible/authoritative state","5","5","5","4","3","92","Misleading structured data","Condition Offer and availability on verified visible authority","No empty/guessed Offer; visible and JSON-LD states agree","WordPressistic - Shuvo","booking authority and SEOISTIC","pending","open","critical"
"BTL-MIG-001","crawl inventory","2026-08-11T01:10:00Z","URL migration","110 discovered/source URLs","E2","All but homepage lack complete performance/backlink/equivalence evidence","legacy and replacement URLs","Final redirects/removals cannot be approved","5","5","5","5","5","86","Organic value loss and soft 404s","Import GSC/GA4/backlinks/logs and decide every row","Every URL has approved action and tested one-hop result","WordPressistic - Shuvo","evidence exports and owner decisions","pending","blocked","critical"
"BTL-SEED-001","local source","2026-08-11T01:00:00Z","content seeding","reruns","E2","Seeder republishes and overwrites tours/destinations with fixed claims","seeded content","Manual review and truth can be destroyed","5","5","4","4","4","86","Content loss and fabricated claims","Implement preview, fill-only ownership and backup","Rerun preserves reviewed edits and creates no duplicates","WordPressistic - Shuvo","Gate A facts and implementation approval","pending","open","critical"
"BTL-ENT-001","public HTTP and source","2026-08-11T00:59:00Z","entity/trust facts","sample pages","E2","Phone/email/founding/licence/rating claims conflict or are unverified","sitewide visible content/schema","Entity contradictions undermine trust and accuracy","5","5","5","5","3","94","Published false or inconsistent facts","Approve one signed fact sheet and remove placeholders","Visible facts and JSON-LD match approved source everywhere","Brother Tours approver - MISSING","business fact sheet","pending","blocked","critical"
"BTL-FORM-001","local source","2026-08-11T01:00:00Z","booking capture","public REST","E2","No durable rate limit or unique request idempotency","booking form","Replay/concurrency can create duplicate bookings","5","4","4","4","3","80","Spam and duplicate operations","Add server-side abuse and idempotency controls","Replay/double-click/concurrency produce one booking and notification","WordPressistic - Shuvo","WordPress integration tests","pending","open","high"
"BTL-LLMS-001","public HTTP","2026-08-11T01:03:29Z","llms.txt","121 links","E2","Uses apex redirects and includes utility, legacy and 404 URLs","/llms.txt","Machine discovery list is noncanonical/noisy","5","3","3","3","2","69","Poor machine discovery","Regenerate after canonical inventory approval","Only direct 200 canonical useful public URLs listed","WordPressistic - Shuvo","approved migration map","pending","open","medium"
